year;emirate;Time;age group;gender;counts
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
2016;Ajman;;17 or less;Male;0
2016;Ajman;;17 or less;Female;0
2016;Ajman;;18 - 20;Male;32
2016;Ajman;;18 - 20;Female;142
2016;Ajman;;21 - 25;Male;227
2016;Ajman;;21 - 25;Female;305
2016;Ajman;;26 - 30;Female;179
2016;Ajman;;26 - 30;Male;251
2016;Ajman;;31 - 35;Female;91
2016;Ajman;;31 - 35;Male;144
2016;Ajman;;36 - 40;Female;32
2016;Ajman;;36 - 40;Male;57
2016;Ajman;;41 - 45;Female;16
2016;Ajman;;41 - 45;Male;30
2016;Ajman;;46 - 50;Female;7
2016;Ajman;;46 - 50;Male;13
2016;Ajman;;51 - 55;Female;4
2016;Ajman;;51 - 55;Male;13
2016;Ajman;;56 - 60;Male;13
2016;Ajman;;56 - 60;Female;0
2016;Ajman;;61 or more;Female;1
2016;Ajman;;61 or more;Male;9
2016;Ajman;;Unknown;Male;15
2016;Ajman;;Unknown;Female;27
2016;Fujairah;;17 or less;Male;0
2016;Fujairah;;17 or less;Female;0
2016;Fujairah;;18 - 20;Male;13
2016;Fujairah;;18 - 20;Female;66
2016;Fujairah;;21 - 25;Male;163
2016;Fujairah;;21 - 25;Female;177
2016;Fujairah;;26 - 30;Female;65
2016;Fujairah;;26 - 30;Male;110
2016;Fujairah;;31 - 35;Female;31
2016;Fujairah;;31 - 35;Male;41
2016;Fujairah;;36 - 40;Female;13
2016;Fujairah;;36 - 40;Male;21
2016;Fujairah;;41 - 45;Female;9
2016;Fujairah;;41 - 45;Male;13
2016;Fujairah;;46 - 50;Female;3
2016;Fujairah;;46 - 50;Male;6
2016;Fujairah;;51 - 55;Female;1
2016;Fujairah;;51 - 55;Male;5
2016;Fujairah;;56 - 60;Male;1
2016;Fujairah;;56 - 60;Female;0
2016;Fujairah;;61 or more;Female;1
2016;Fujairah;;61 or more;Male;2
2016;Fujairah;;Unknown;Female;9
2016;Fujairah;;Unknown;Male;0
2016;Sharjah;;17 or less;Male;0
2016;Sharjah;;17 or less;Female;0
2016;Sharjah;;18 - 20;Male;46
2016;Sharjah;;18 - 20;Female;277
2016;Sharjah;;21 - 25;Male;603
2016;Sharjah;;21 - 25;Female;768
2016;Sharjah;;26 - 30;Female;424
2016;Sharjah;;26 - 30;Male;650
2016;Sharjah;;31 - 35;Female;185
2016;Sharjah;;31 - 35;Male;254
2016;Sharjah;;36 - 40;Female;80
2016;Sharjah;;36 - 40;Male;127
2016;Sharjah;;41 - 45;Female;42
2016;Sharjah;;41 - 45;Male;57
2016;Sharjah;;46 - 50;Female;15
2016;Sharjah;;46 - 50;Male;40
2016;Sharjah;;51 - 55;Female;4
2016;Sharjah;;51 - 55;Male;22
2016;Sharjah;;56 - 60;Female;5
2016;Sharjah;;56 - 60;Male;10
2016;Sharjah;;61 or more;Female;1
2016;Sharjah;;61 or more;Male;20
2016;Sharjah;;Unknown;Female;28
2016;Sharjah;;Unknown;Male;0
2016;Umm Al - Quwain;;17 or less;Male;0
2016;Umm Al - Quwain;;17 or less;Female;0
2016;Umm Al - Quwain;;18 - 20;Male;7
